Entry	Entry Name	Length	Cofactor	Catalytic activity	Binding site	Annotation	EC number	Protein existence	Gene Names (ordered locus)	Gene Names (primary)
P36148	GPT2_YEAST	743		CATALYTIC ACTIVITY: Reaction=an acyl-CoA + sn-glycerol 3-phosphate = a 1-acyl-sn-glycero-3-phosphate + CoA; Xref=Rhea:RHEA:15325, ChEBI:CHEBI:57287, ChEBI:CHEBI:57597, ChEBI:CHEBI:57970, ChEBI:CHEBI:58342; EC=2.3.1.15; Evidence={ECO:0000269|PubMed:11544256}; CATALYTIC ACTIVITY: Reaction=an acyl-CoA + dihydroxyacetone phosphate = a 1-acylglycerone 3-phosphate + CoA; Xref=Rhea:RHEA:17657, ChEBI:CHEBI:57287, ChEBI:CHEBI:57534, ChEBI:CHEBI:57642, ChEBI:CHEBI:58342; EC=2.3.1.42; Evidence={ECO:0000269|PubMed:11544256}; CATALYTIC ACTIVITY: Reaction=hexadecanoyl-CoA + sn-glycerol 3-phosphate = 1-hexadecanoyl-sn-glycero-3-phosphate + CoA; Xref=Rhea:RHEA:35723, ChEBI:CHEBI:57287, ChEBI:CHEBI:57379, ChEBI:CHEBI:57518, ChEBI:CHEBI:57597; Evidence={ECO:0000269|PubMed:11544256}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:35724; Evidence={ECO:0000305|PubMed:11544256}; CATALYTIC ACTIVITY: Reaction=(9Z)-hexadecenoyl-CoA + sn-glycerol 3-phosphate = 1-(9Z-hexadecenoyl)-sn-glycero-3-phosphate + CoA; Xref=Rhea:RHEA:44188, ChEBI:CHEBI:57287, ChEBI:CHEBI:57597, ChEBI:CHEBI:61540, ChEBI:CHEBI:74694; Evidence={ECO:0000269|PubMed:11544256}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:44189; Evidence={ECO:0000305|PubMed:11544256}; CATALYTIC ACTIVITY: Reaction=octadecanoyl-CoA + sn-glycerol 3-phosphate = 1-octadecanoyl-sn-glycero-3-phosphate + CoA; Xref=Rhea:RHEA:37195, ChEBI:CHEBI:57287, ChEBI:CHEBI:57394, ChEBI:CHEBI:57597, ChEBI:CHEBI:74565; Evidence={ECO:0000269|PubMed:11544256}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:37196; Evidence={ECO:0000305|PubMed:11544256}; CATALYTIC ACTIVITY: Reaction=(9Z)-octadecenoyl-CoA + sn-glycerol 3-phosphate = 1-(9Z-octadecenoyl)-sn-glycero-3-phosphate + CoA; Xref=Rhea:RHEA:37199, ChEBI:CHEBI:57287, ChEBI:CHEBI:57387, ChEBI:CHEBI:57597, ChEBI:CHEBI:74544; Evidence={ECO:0000269|PubMed:11544256}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:37200; Evidence={ECO:0000305|PubMed:11544256};		5.0	2.3.1.15; 2.3.1.42	Evidence at protein level	YKR067W	GPT2
P36149	BET3_YEAST	193				5.0		Evidence at protein level	YKR068C	BET3
P36152	DRE2_YEAST	348	COFACTOR: Name=[2Fe-2S] cluster; Xref=ChEBI:CHEBI:190135; Evidence={ECO:0000255|HAMAP-Rule:MF_03115, ECO:0000269|PubMed:18625724, ECO:0000269|PubMed:20802492, ECO:0000269|PubMed:22487307}; COFACTOR: Name=[4Fe-4S] cluster; Xref=ChEBI:CHEBI:49883; Evidence={ECO:0000255|HAMAP-Rule:MF_03115, ECO:0000269|PubMed:27166425, ECO:0000269|PubMed:27672211}; Note=In the presence of oxygen, the A site-bound [2Fe-2S] cluster is labile and the B site-bound [4Fe-4S] cluster is readily converted into a [2Fe-2S] cluster, a reason why recombinant protein is often isolated with a single [2Fe-2S] cluster. {ECO:0000305|PubMed:27166425, ECO:0000305|PubMed:27672211};		BINDING 252; /ligand="[2Fe-2S] cluster"; /ligand_id="ChEBI:CHEBI:190135"; /evidence="ECO:0000255|HAMAP-Rule:MF_03115, ECO:0000269|PubMed:27672211"; BINDING 263; /ligand="[2Fe-2S] cluster"; /ligand_id="ChEBI:CHEBI:190135"; /evidence="ECO:0000255|HAMAP-Rule:MF_03115, ECO:0000269|PubMed:27672211"; BINDING 266; /ligand="[2Fe-2S] cluster"; /ligand_id="ChEBI:CHEBI:190135"; /evidence="ECO:0000255|HAMAP-Rule:MF_03115, ECO:0000269|PubMed:27672211"; BINDING 268; /ligand="[2Fe-2S] cluster"; /ligand_id="ChEBI:CHEBI:190135"; /evidence="ECO:0000255|HAMAP-Rule:MF_03115, ECO:0000269|PubMed:27672211"; BINDING 311; /ligand="[4Fe-4S] cluster"; /ligand_id="ChEBI:CHEBI:49883"; /evidence="ECO:0000255|HAMAP-Rule:MF_03115, ECO:0000269|PubMed:27672211"; BINDING 314; /ligand="[4Fe-4S] cluster"; /ligand_id="ChEBI:CHEBI:49883"; /evidence="ECO:0000255|HAMAP-Rule:MF_03115, ECO:0000269|PubMed:27672211"; BINDING 322; /ligand="[4Fe-4S] cluster"; /ligand_id="ChEBI:CHEBI:49883"; /evidence="ECO:0000255|HAMAP-Rule:MF_03115, ECO:0000269|PubMed:27672211"; BINDING 325; /ligand="[4Fe-4S] cluster"; /ligand_id="ChEBI:CHEBI:49883"; /evidence="ECO:0000255|HAMAP-Rule:MF_03115, ECO:0000269|PubMed:27672211"	5.0		Evidence at protein level	YKR071C	DRE2
P36156	GTO2_YEAST	370		CATALYTIC ACTIVITY: Reaction=glutathione + RX = a halide anion + an S-substituted glutathione + H(+); Xref=Rhea:RHEA:16437, ChEBI:CHEBI:15378, ChEBI:CHEBI:16042, ChEBI:CHEBI:17792, ChEBI:CHEBI:57925, ChEBI:CHEBI:90779; EC=2.5.1.18; Evidence={ECO:0000269|PubMed:16709151}; CATALYTIC ACTIVITY: Reaction=2 glutathione + L-dehydroascorbate = glutathione disulfide + L-ascorbate; Xref=Rhea:RHEA:24424, ChEBI:CHEBI:38290, ChEBI:CHEBI:57925, ChEBI:CHEBI:58297, ChEBI:CHEBI:58539; EC=1.8.5.1; Evidence={ECO:0000269|PubMed:16709151};		5.0	1.8.5.1; 2.5.1.18	Evidence at protein level	YKR076W	ECM4
P36159	RNZ_YEAST	838	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000305};	CATALYTIC ACTIVITY: Reaction=Endonucleolytic cleavage of RNA, removing extra 3' nucleotides from tRNA precursor, generating 3' termini of tRNAs. A 3'-hydroxy group is left at the tRNA terminus and a 5'-phosphoryl group is left at the trailer molecule.; EC=3.1.26.11; Evidence={ECO:0000269|PubMed:12711671};		5.0	3.1.26.11	Evidence at protein level	YKR079C	TRZ1
P36160	RPF2_YEAST	344				5.0		Evidence at protein level	YKR081C	RPF2
P36161	NU133_YEAST	1157				5.0		Evidence at protein level	YKR082W	NUP133
P36162	DAD2_YEAST	133				5.0		Evidence at protein level	YKR083C	DAD2
P36163	OMA1_YEAST	345	COFACTOR: Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000250|UniProtKB:O75844}; Note=Binds 1 zinc ion per subunit. {ECO:0000250|UniProtKB:O75844};		BINDING 203; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU10095"; BINDING 207; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU10095"; BINDING 257; /ligand="Zn(2+)"; /ligand_id="ChEBI:CHEBI:29105"; /ligand_note="catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU10095"	5.0	3.4.24.-	Evidence at protein level	YKR087C	OMA1
P36165	TGL4_YEAST	910		CATALYTIC ACTIVITY: Reaction=a triacylglycerol + H2O = a diacylglycerol + a fatty acid + H(+); Xref=Rhea:RHEA:12044, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:17855, ChEBI:CHEBI:18035, ChEBI:CHEBI:28868; EC=3.1.1.3; Evidence={ECO:0000269|PubMed:16135509}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:12045; Evidence={ECO:0000305|PubMed:16135509}; CATALYTIC ACTIVITY: Reaction=1,2,3-tri-(9Z-octadecenoyl)-glycerol + H2O = (9Z)-octadecenoate + di-(9Z)-octadecenoylglycerol + H(+); Xref=Rhea:RHEA:38575, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30823, ChEBI:CHEBI:53753, ChEBI:CHEBI:75945; Evidence={ECO:0000269|PubMed:16267052, ECO:0000269|PubMed:20332534}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:38576; Evidence={ECO:0000305|PubMed:16267052, ECO:0000305|PubMed:20332534}; CATALYTIC ACTIVITY: Reaction=1,2-dihexadecanoyl-sn-glycero-3-phosphocholine + H2O = 1-hexadecanoyl-sn-glycero-3-phosphocholine + H(+) + hexadecanoate; Xref=Rhea:RHEA:41223, ChEBI:CHEBI:7896, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:72998, ChEBI:CHEBI:72999; Evidence={ECO:0000269|PubMed:20332534}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:41224; Evidence={ECO:0000305|PubMed:20332534}; CATALYTIC ACTIVITY: Reaction=cholesteryl (9Z-octadecenoate) + H2O = (9Z)-octadecenoate + cholesterol + H(+); Xref=Rhea:RHEA:33875, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:16113, ChEBI:CHEBI:30823, ChEBI:CHEBI:46898; Evidence={ECO:0000269|PubMed:20332534}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:33876; Evidence={ECO:0000305|PubMed:20332534}; CATALYTIC ACTIVITY: Reaction=(9Z)-octadecenoyl-CoA + 1-(9Z-octadecenoyl)-sn-glycero-3-phosphate = 1,2-di-(9Z-octadecenoyl)-sn-glycero-3-phosphate + CoA; Xref=Rhea:RHEA:37131, ChEBI:CHEBI:57287, ChEBI:CHEBI:57387, ChEBI:CHEBI:74544, ChEBI:CHEBI:74546; Evidence={ECO:0000269|PubMed:20332534}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:37132; Evidence={ECO:0000305|PubMed:20332534};		5.0	3.1.1.3	Evidence at protein level	YKR089C	TGL4
P36421	SYYC_YEAST	394		CATALYTIC ACTIVITY: Reaction=ATP + L-tyrosine + tRNA(Tyr) = AMP + diphosphate + H(+) + L-tyrosyl-tRNA(Tyr); Xref=Rhea:RHEA:10220, Rhea:RHEA-COMP:9706, Rhea:RHEA-COMP:9707, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:58315, ChEBI:CHEBI:78442, ChEBI:CHEBI:78536, ChEBI:CHEBI:456215; EC=6.1.1.1; Evidence={ECO:0000269|PubMed:3535890, ECO:0000269|PubMed:8509419};	BINDING 43; /ligand="L-tyrosine"; /ligand_id="ChEBI:CHEBI:58315"; /evidence="ECO:0000250|UniProtKB:P54577"; BINDING 170; /ligand="L-tyrosine"; /ligand_id="ChEBI:CHEBI:58315"; /evidence="ECO:0000250|UniProtKB:P54577"; BINDING 174; /ligand="L-tyrosine"; /ligand_id="ChEBI:CHEBI:58315"; /evidence="ECO:0000250|UniProtKB:P54577"; BINDING 177; /ligand="L-tyrosine"; /ligand_id="ChEBI:CHEBI:58315"; /evidence="ECO:0000250|UniProtKB:P54577"; BINDING 192; /ligand="L-tyrosine"; /ligand_id="ChEBI:CHEBI:58315"; /evidence="ECO:0000250|UniProtKB:P54577"	5.0	6.1.1.1	Evidence at protein level	YGR185C	TYS1
P36531	RM36_YEAST	177				5.0		Evidence at protein level	YBR122C	MRPL36
P36775	LONM_YEAST	1133		CATALYTIC ACTIVITY: Reaction=Hydrolysis of proteins in presence of ATP.; EC=3.4.21.53; Evidence={ECO:0000255|HAMAP-Rule:MF_03120, ECO:0000269|PubMed:35143841};	BINDING 632..639; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|HAMAP-Rule:MF_03120, ECO:0000269|PubMed:35143841, ECO:0007744|PDB:7SXO"	5.0	3.4.21.53	Evidence at protein level	YBL022C	PIM1
P37012	PGM2_YEAST	569	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:1100398, ECO:0000269|PubMed:4628805}; Name=Zn(2+); Xref=ChEBI:CHEBI:29105; Evidence={ECO:0000269|PubMed:1100398, ECO:0000269|PubMed:4628805}; Note=Binds 1 magnesium ion per subunit. Can also use Zn(2+) as cofactor. {ECO:0000269|PubMed:1100398, ECO:0000269|PubMed:4628805};	CATALYTIC ACTIVITY: Reaction=alpha-D-glucose 1-phosphate = alpha-D-glucose 6-phosphate; Xref=Rhea:RHEA:23536, ChEBI:CHEBI:58225, ChEBI:CHEBI:58601; EC=5.4.2.2; Evidence={ECO:0000269|PubMed:1100398, ECO:0000269|PubMed:23103740, ECO:0000269|PubMed:4992300};	BINDING 24; /ligand="alpha-D-glucose 1,6-bisphosphate"; /ligand_id="ChEBI:CHEBI:58392"; /evidence="ECO:0000250|UniProtKB:P00949"; BINDING 119; /ligand="alpha-D-glucose 1,6-bisphosphate"; /ligand_id="ChEBI:CHEBI:58392"; /evidence="ECO:0000250|UniProtKB:P00949"; BINDING 119; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /note="via phosphate group"; /evidence="ECO:0000250|UniProtKB:P00949"; BINDING 290; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000250|UniProtKB:P00949"; BINDING 292; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000250|UniProtKB:P00949"; BINDING 294; /ligand="alpha-D-glucose 1,6-bisphosphate"; /ligand_id="ChEBI:CHEBI:58392"; /evidence="ECO:0000250|UniProtKB:P00949"; BINDING 294; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000250|UniProtKB:P00949"; BINDING 295; /ligand="alpha-D-glucose 1,6-bisphosphate"; /ligand_id="ChEBI:CHEBI:58392"; /evidence="ECO:0000250|UniProtKB:P00949"; BINDING 359; /ligand="alpha-D-glucose 1,6-bisphosphate"; /ligand_id="ChEBI:CHEBI:58392"; /evidence="ECO:0000250|UniProtKB:P00949"; BINDING 378; /ligand="alpha-D-glucose 1,6-bisphosphate"; /ligand_id="ChEBI:CHEBI:58392"; /evidence="ECO:0000250|UniProtKB:P00949"; BINDING 380; /ligand="alpha-D-glucose 1,6-bisphosphate"; /ligand_id="ChEBI:CHEBI:58392"; /evidence="ECO:0000250|UniProtKB:P00949"; BINDING 391; /ligand="alpha-D-glucose 1,6-bisphosphate"; /ligand_id="ChEBI:CHEBI:58392"; /evidence="ECO:0000250|UniProtKB:P00949"	5.0	5.4.2.2	Evidence at protein level	YMR105C	PGM2
P37020	GEF1_YEAST	779				5.0		Evidence at protein level	YJR040W	GEF1
P37291	GLYC_YEAST	469	COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000250|UniProtKB:P34897};	CATALYTIC ACTIVITY: Reaction=(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + glycine + H2O = (6S)-5,6,7,8-tetrahydrofolate + L-serine; Xref=Rhea:RHEA:15481, ChEBI:CHEBI:15377, ChEBI:CHEBI:15636, ChEBI:CHEBI:33384, ChEBI:CHEBI:57305, ChEBI:CHEBI:57453; EC=2.1.2.1; Evidence={ECO:0000305|PubMed:8132653};		5.0	2.1.2.1	Evidence at protein level	YLR058C	SHM2
P37292	GLYM_YEAST	490	COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326;	CATALYTIC ACTIVITY: Reaction=(6R)-5,10-methylene-5,6,7,8-tetrahydrofolate + glycine + H2O = (6S)-5,6,7,8-tetrahydrofolate + L-serine; Xref=Rhea:RHEA:15481, ChEBI:CHEBI:15377, ChEBI:CHEBI:15636, ChEBI:CHEBI:33384, ChEBI:CHEBI:57305, ChEBI:CHEBI:57453; EC=2.1.2.1;		5.0	2.1.2.1	Evidence at protein level	YBR263W	SHM1
P37296	VPP2_YEAST	890				5.0		Evidence at protein level	YMR054W	STV1
P37297	STT4_YEAST	1900		CATALYTIC ACTIVITY: Reaction=a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol) + ATP = a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol 4-phosphate) + ADP + H(+); Xref=Rhea:RHEA:19877, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:57880, ChEBI:CHEBI:58178, ChEBI:CHEBI:456216; EC=2.7.1.67;		5.0	2.7.1.67	Evidence at protein level	YLR305C	STT4
P37298	DHSD_YEAST	181			BINDING 109; /ligand="heme"; /ligand_id="ChEBI:CHEBI:30413"; /ligand_part="Fe"; /ligand_part_id="ChEBI:CHEBI:18248"; /note="axial binding residue"; /evidence="ECO:0000305"; BINDING 120; /ligand="a ubiquinone"; /ligand_id="ChEBI:CHEBI:16389"; /ligand_note="ligand shared with IP/SDHB"; /evidence="ECO:0000250"	5.0		Evidence at protein level	YDR178W	SDH4
P37299	QCR10_YEAST	77				5.0		Evidence at protein level	YHR001W-A	QCR10
P37303	GLY1_YEAST	387	COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326;	CATALYTIC ACTIVITY: Reaction=L-threonine = acetaldehyde + glycine; Xref=Rhea:RHEA:19625, ChEBI:CHEBI:15343, ChEBI:CHEBI:57305, ChEBI:CHEBI:57926; EC=4.1.2.48; Evidence={ECO:0000269|PubMed:9151955}; CATALYTIC ACTIVITY: Reaction=L-allo-threonine = acetaldehyde + glycine; Xref=Rhea:RHEA:26209, ChEBI:CHEBI:15343, ChEBI:CHEBI:57305, ChEBI:CHEBI:58585; EC=4.1.2.48; Evidence={ECO:0000269|PubMed:9151955};		5.0	4.1.2.48	Evidence at protein level	YEL046C	GLY1
P37366	CCL1_YEAST	393				5.0		Evidence at protein level	YPR025C	CCL1
P37370	VRP1_YEAST	817				5.0		Evidence at protein level	YLR337C	VRP1
P37838	NOP4_YEAST	685				5.0		Evidence at protein level	YPL043W	NOP4
P38009	PUR92_YEAST	592		CATALYTIC ACTIVITY: Reaction=(6S)-10-formyltetrahydrofolate + 5-amino-1-(5-phospho-beta-D-ribosyl)imidazole-4-carboxamide = (6S)-5,6,7,8-tetrahydrofolate + 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; Xref=Rhea:RHEA:22192, ChEBI:CHEBI:57453, ChEBI:CHEBI:57454, ChEBI:CHEBI:58467, ChEBI:CHEBI:58475; EC=2.1.2.3; CATALYTIC ACTIVITY: Reaction=H2O + IMP = 5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide; Xref=Rhea:RHEA:18445, ChEBI:CHEBI:15377, ChEBI:CHEBI:58053, ChEBI:CHEBI:58467; EC=3.5.4.10;		5.0	2.1.2.3; 3.5.4.10	Evidence at protein level	YMR120C	ADE17
P38011	GBLP_YEAST	319				5.0		Evidence at protein level	YMR116C	ASC1
P38013	AHP1_YEAST	176		CATALYTIC ACTIVITY: Reaction=[thioredoxin]-dithiol + a hydroperoxide = [thioredoxin]-disulfide + an alcohol + H2O; Xref=Rhea:RHEA:62620, Rhea:RHEA-COMP:10698, Rhea:RHEA-COMP:10700, ChEBI:CHEBI:15377, ChEBI:CHEBI:29950, ChEBI:CHEBI:30879, ChEBI:CHEBI:35924, ChEBI:CHEBI:50058; EC=1.11.1.24; Evidence={ECO:0000269|PubMed:10391912, ECO:0000269|PubMed:9888818};		5.0	1.11.1.24	Evidence at protein level	YLR109W	AHP1
P38041	BOB1_YEAST	980				5.0		Evidence at protein level	YBL085W	BOI1
P38042	CDC27_YEAST	758				5.0		Evidence at protein level	YBL084C	CDC27
P38063	KPR4_YEAST	326		CATALYTIC ACTIVITY: Reaction=ATP + D-ribose 5-phosphate = 5-phospho-alpha-D-ribose 1-diphosphate + AMP + H(+); Xref=Rhea:RHEA:15609, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:58017, ChEBI:CHEBI:78346, ChEBI:CHEBI:456215; EC=2.7.6.1; Evidence={ECO:0000269|PubMed:10212224, ECO:0000269|PubMed:15280369};	BINDING 140; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255"; BINDING 142; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255"; BINDING 151; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255"; BINDING 155; /ligand="Mg(2+)"; /ligand_id="ChEBI:CHEBI:18420"; /evidence="ECO:0000255"	5.0	2.7.6.1	Evidence at protein level	YBL068W	PRS4
P38069	MNN2_YEAST	597				5.0	2.4.1.-	Evidence at protein level	YBR015C	MNN2
P38070	YPK3_YEAST	525		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; Evidence={ECO:0000269|PubMed:11062466}; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1; Evidence={ECO:0000269|PubMed:11062466};	BINDING 134..142; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; BINDING 157; /ligand="ATP"; /ligand_id="ChEBI:CHEBI:30616"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"	5.0	2.7.11.1	Evidence at protein level	YBR028C	YPK3
P38071	ETR1_YEAST	380		CATALYTIC ACTIVITY: Reaction=a 2,3-saturated acyl-[ACP] + NADP(+) = a (2E)-enoyl-[ACP] + H(+) + NADPH; Xref=Rhea:RHEA:22564, Rhea:RHEA-COMP:9925, Rhea:RHEA-COMP:9926, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:78784, ChEBI:CHEBI:78785; EC=1.3.1.104; Evidence={ECO:0000305|PubMed:11509667, ECO:0000305|PubMed:12614607}; CATALYTIC ACTIVITY: Reaction=(2E,4E)-hexadienoyl-CoA + H(+) + NADPH = (4E)-hexenoyl-CoA + NADP(+); Xref=Rhea:RHEA:54908, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:84788, ChEBI:CHEBI:138404; Evidence={ECO:0000269|PubMed:11509667}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:54909; Evidence={ECO:0000305|PubMed:11509667}; CATALYTIC ACTIVITY: Reaction=(2E)-hexenoyl-CoA + H(+) + NADPH = hexanoyl-CoA + NADP(+); Xref=Rhea:RHEA:44956, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:62077, ChEBI:CHEBI:62620; Evidence={ECO:0000269|PubMed:11509667}; PhysiologicalDirection=left-to-right; Xref=Rhea:RHEA:44957; Evidence={ECO:0000305|PubMed:11509667};	BINDING 157; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000250|UniProtKB:Q8WZM3"; BINDING 185..188; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000250|UniProtKB:Q8WZM3"; BINDING 208..210; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000250|UniProtKB:Q8WZM3"; BINDING 283..286; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000250|UniProtKB:Q8WZM3"; BINDING 308..310; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000250|UniProtKB:Q8WZM3"; BINDING 373; /ligand="NADP(+)"; /ligand_id="ChEBI:CHEBI:58349"; /evidence="ECO:0000250|UniProtKB:Q8WZM3"	5.0	1.3.1.104	Evidence at protein level	YBR026C	ETR1
P38074	HMT1_YEAST	348			BINDING 33; /ligand="S-adenosyl-L-methionine"; /ligand_id="ChEBI:CHEBI:59789"; /evidence="ECO:0000250|UniProtKB:Q63009"; BINDING 42; /ligand="S-adenosyl-L-methionine"; /ligand_id="ChEBI:CHEBI:59789"; /evidence="ECO:0000250|UniProtKB:Q63009"; BINDING 66; /ligand="S-adenosyl-L-methionine"; /ligand_id="ChEBI:CHEBI:59789"; /evidence="ECO:0000250|UniProtKB:Q63009"; BINDING 88; /ligand="S-adenosyl-L-methionine"; /ligand_id="ChEBI:CHEBI:59789"; /evidence="ECO:0000250|UniProtKB:Q63009"; BINDING 117; /ligand="S-adenosyl-L-methionine"; /ligand_id="ChEBI:CHEBI:59789"; /evidence="ECO:0000250|UniProtKB:Q63009"	5.0	2.1.1.-	Evidence at protein level	YBR034C	HMT1
